"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000299","1960-1989",NA,35.699,-119.226,"Deep","CDPH",157.5
"CDPH1000299","1990-2014",NA,35.699,-119.226,"Deep","CDPH",220
"CDPH1000300","1990-2014",NA,35.67,-119.226,"Deep","CDPH",140
"CDPH1000301","1990-2014",NA,35.67,-119.23,"Deep","CDPH",116.48
"CDPH1000308","1960-1989",NA,35.43,-119.05,"Deep","CDPH",523.2
"CDPH1000308","1990-2014",NA,35.43,-119.05,"Deep","CDPH",764.8
"CDPH1000310","1990-2014",NA,35.496,-119.265,"Deep","CDPH",438.4
"CDPH1000318","1960-1989",NA,35.58,-119.33,"Deep","CDPH",193.5
"CDPH1000318","1990-2014",NA,35.58,-119.33,"Deep","CDPH",192
"CDPH1000319","1960-1989",NA,35.6,-119.35,"Deep","CDPH",187.8
"CDPH1000319","1990-2014",NA,35.6,-119.35,"Deep","CDPH",166.92
"CDPH1000320","1960-1989",NA,35.58,-119.35,"Deep","CDPH",170.7
"CDPH1000320","1990-2014",NA,35.58,-119.35,"Deep","CDPH",192
"CDPH1000321","1960-1989",NA,35.6,-119.33,"Deep","CDPH",153.6
"CDPH1000321","1990-2014",NA,35.6,-119.33,"Deep","CDPH",192.32
"CDPH1000322","1990-2014",NA,35.59,-119.34,"Deep","CDPH",159.04
"CDPH1000323","1960-1989",NA,35.28,-119.01,"Deep","CDPH",281
"CDPH1000323","1990-2014",NA,35.28,-119.01,"Deep","CDPH",330
"CDPH1000324","1990-2014",NA,35.37,-119.12,"Deep","CDPH",359
"CDPH1000325","1990-2014",NA,35.38,-119.11,"Deep","CDPH",243.2
"CDPH1000326","1990-2014",NA,35.45,-119.01,"Deep","CDPH",255
"CDPH1000339","1990-2014",NA,35.148,-119.463,"Deep","CDPH",271.68
"CDPH1000340","1960-1989",NA,35.612,-119.503,"Deep","CDPH",136.5
"CDPH1000340","1990-2014",NA,35.612,-119.503,"Deep","CDPH",174.08
"CDPH1000341","1960-1989",NA,35.612,-119.503,"Deep","CDPH",146.8
"CDPH1000341","1990-2014",NA,35.612,-119.503,"Deep","CDPH",161.28
"CDPH1000344","1960-1989",NA,36.11,-119.53,"Deep","CDPH",155.04
"CDPH1000344","1990-2014",NA,36.11,-119.53,"Deep","CDPH",297.6
"CDPH1000706","1990-2014",NA,36.452,-119.186,"Deep","CDPH",614.4
"CDPH1000707","1990-2014",NA,35.844,-119.345,"Deep","CDPH",444.32
"CDPH1000709","1990-2014",NA,36.481,-119.226,"Deep","CDPH",336.4
"CDPH1000710","1990-2014",NA,36.278,-119.107,"Deep","CDPH",545.8
"CDPH1000711","1990-2014",NA,36.278,-119.107,"Deep","CDPH",1247.2
"CDPH1000712","1990-2014",NA,36.075,-119.028,"Deep","CDPH",220
"CDPH1000713","1990-2014",NA,36.51,-119.424,"Deep","CDPH",252.8
"CDPH1000714","1990-2014",NA,36.307,-119.226,"Deep","CDPH",249.6
"CDPH1000715","1990-2014",NA,36.307,-119.226,"Deep","CDPH",211.2
"CDPH1000719","1990-2014",NA,36.307,-119.424,"Deep","CDPH",313.6
"CDPH1000720","1990-2014",NA,36.336,-119.345,"Deep","CDPH",150
